timeCode,partnerCountryCode,Value
2005,136,1859829510.0
2005,134,898471200.0
2005,744,519686977.571
2005,186,422583201.7
2005,132,411226970.0
2005,112,410739340.0
2005,542,401181000.0
2005,924,396484000.0
2005,184,236441700.0
2005,223,234460076.4
2005,174,218491460.0
2005,463,212044468.017
2005,138,189533630.0
2005,922,183099310.9
2005,146,165388396.854
2005,124,165077770.0
2005,469,163432734.3
2005,158,151766434.86
2005,534,132939167.03
2005,578,123762148.879
2005,144,106043300.0
2005,181,104436090.0
2005,111,92290000.0
2005,122,84692300.0
2005,156,76725892.8526
2005,926,69974700.895
2005,213,66246148.1
2005,466,47598259.6834
2005,456,42164072.7038
2005,128,42068180.0
2005,965,37437539.9269
2005,449,33949885.0455
2005,576,32581315.2964
2005,439,28873060.6488
2005,178,24436720.0
2005,918,24198759.8064
2005,968,24119480.0
2005,524,23520178.0
2005,944,21083260.0
2005,686,20935409.0
2005,536,19802402.4
2005,172,19107990.0
2005,446,18484114.088
2005,548,17791282.8919
2005,913,17359210.0
2005,960,15733603.6
2005,528,15659600.0
2005,612,15254452.9921
2005,964,13533300.0
2005,193,12696330.9942
2005,935,12061184.8186
2005,961,11794420.0
2005,182,10194030.0
2005,453,9252732.1978
2005,423,7357570.0
2005,199,6926414.18898
2005,142,5876722.53888
2005,419,4814091.46251
2005,137,4099040.0
2005,263,3956278.04259
2005,273,3950112.1
2005,564,3765496.79118
2005,196,2265088.28843
2005,532,2126391.76478
2005,732,1777600.0
2005,566,990705.1
2005,936,789470.0
2005,652,587620.807114
2005,928,570389.539104
2005,474,560829.55124
2005,692,482533.987017
2005,912,436480.0
2005,293,398993.521043
2005,513,391999.559581
2005,228,370883.172
2005,644,306555.620194
2005,921,276760.0
2005,443,265347.083854
2005,298,257944.5
2005,954,172593.91126
2005,939,139370.0
2005,962,93505.1020495
2005,941,76890.0
2005,662,68739.2321
2005,698,60302.2796971
2005,248,29554.8
2005,946,29260.0
2005,664,27461.4831402
2005,516,10782.9236643
2005,746,8017.35
2005,634,5527.84738187
2005,299,3300.0
2005,754,2741.16447028
2005,722,312.815100286
2006,136,1935046520.0
2006,134,801634240.0
2006,924,774142600.0
2006,744,682447842.828
2006,132,594332310.0
2006,186,538187345.3
2006,111,478610000.0
2006,542,476941300.0
2006,112,398525380.0
2006,174,308061930.0
2006,463,261769558.224
2006,124,233368300.0
2006,223,224715299.6
2006,146,210067746.263
2006,158,209389172.776
2006,138,194046930.0
2006,469,183225014.5
2006,926,165162910.0
2006,578,152576191.958
2006,144,116942650.0
2006,184,116899420.0
2006,534,99533568.0828
2006,213,92171962.3
2006,122,83483400.0
2006,922,78704964.8
2006,181,77498190.0
2006,156,65061220.9477
2006,466,56984120.117
2006,456,50478370.4184
2006,449,49021807.5423
2006,944,42483650.0
2006,536,37574530.4
2006,548,35215442.6691
2006,273,31794847.7
2006,439,28822792.6657
2006,964,27142720.0
2006,576,26814188.5354
2006,178,26404620.0
2006,686,24658973.9
2006,961,24457950.0
2006,968,21961390.0
2006,172,21580240.0
2006,612,21277052.8415
2006,528,19990300.0
2006,960,15246190.3
2006,935,15203100.0
2006,142,14319474.3028
2006,524,12452185.4701
2006,193,8702628.76717
2006,128,8492440.0
2006,423,8476930.0
2006,182,7518170.0
2006,446,6211332.688
2006,732,5922400.0
2006,419,5763378.07261
2006,196,5729409.19408
2006,263,4884037.60357
